radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
301.50346,0.514,44.292242,0.685,4,15.748,0.084,16.611,0.076,16.114,0.069,15.45,0.006,NA,NA
301.503948,1.206,44.111609,0.444,2,15.031,-0,15.762,-0,15.302,-0.013,15.005,-0,NA,NA
301.504765,0.687,44.350235,0.562,4,15.588,0.033,16.38,0.039,15.915,0.025,15.305,0.029,15.058,-0
301.504828,0.648,45.055692,0.808,4,14.052,0.067,14.806,0.207,14.36,0.124,13.86,0.121,13.569,0.092
301.504853,0.784,44.920406,0.852,3,15.386,0.048,16.4,0.106,15.808,0.108,15.074,0.082,14.843,-0
301.505144,0.733,44.492347,0.385,5,12.427,0.029,13.231,0.038,12.764,0.045,12.171,0.036,11.886,0.032
301.505269,0.584,45.169531,0.253,4,12.803,0.097,14.946,0.053,13.885,0.044,12.154,0.055,11.348,0.055
301.505349,0.535,44.775,0.416,5,11.268,0.03,12.401,0.063,11.791,0.07,10.881,0.049,10.489,0.105
301.505553,1.249,43.979096,0.244,3,14.878,0.008,15.678,0,15.128,-0.012,14.838,-0,14.766,-0
301.505753,0.532,43.792339,0.239,5,10.112,0.041,10.755,0.036,10.66,0.09,10.057,-0,9.977,-0
301.506314,0.755,44.385999,0.42,4,15.093,0.051,15.996,0.024,15.468,0.038,14.763,0.047,14.469,0.086
301.506569,0.735,44.712191,0.342,5,13.134,0.032,13.71,0.052,13.372,0.053,12.926,0.049,12.709,0.006
301.506786,0.426,45.034795,1.056,3,14.07,0.043,14.834,0.245,14.405,0.15,13.86,0.099,13.659,0.103
301.506947,1.194,45.374863,0.646,2,16.133,0.207,17.328,0.066,16.693,-0,15.791,-0,15.533,-0
301.507034,0.567,43.941437,0.454,5,12.364,0.015,13.007,0.035,12.617,0.041,12.232,0.022,12.098,0.027
301.507192,0.496,44.571436,0.318,5,10.895,0.06,12.356,0.045,11.575,0.058,10.408,0.048,9.995,-0
301.50731,0.643,44.866534,0.496,5,11.113,0.045,12.526,0.169,11.741,0.078,10.685,0.064,10.19,0.14
301.507481,0.746,44.590787,0.491,3,15.893,-0,16.74,-0,16.217,0.064,15.544,0.074,NA,NA
301.507488,0.448,44.106052,0.281,4,14.383,0.036,14.983,0.034,14.626,0.044,14.215,0.035,14.047,-0
301.507583,0.939,43.749519,0.766,4,14.674,0.095,15.914,0.045,15.305,0.042,14.15,0.039,13.431,0.027
301.507708,0.339,44.417695,0.397,4,14.8,0.032,15.457,0.023,15.07,0.045,14.59,0.056,14.408,0.098
301.507956,0.496,44.369296,0.253,5,12.788,0.035,13.535,0.029,13.104,0.042,12.558,0.049,12.311,0.029
301.50809,1.006,43.492024,0.778,3,16.406,0.036,17.383,0.026,16.862,-0,16.079,-0,16.082,0.126
301.508478,0.516,44.763556,0.398,4,14.345,0.064,14.986,0.067,14.602,0.052,14.108,0.069,13.881,0.09
301.508579,0.554,43.58056,1.114,2,16.022,-0,16.81,-0.052,16.203,0.017,15.691,0.047,15.664,-0
