,REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex,isodate,decimalyear
50,420061551442725,5737.988,5533.48,-12.7053,301.564826,44.457355,12.969192,0.163019,12.392989,0.12061300000000001,2413823.658366,120812.4,-11.2702,-12.7887,3.5,3909.2740000000003,1704.6970000000001,63.53,0.51,2.9999999999999997e-05,17.39,0.008653000000000001,3.0869,0.0,13.613071,0.181722,1.388657,0.117855,0.46799999999999997,143663284,i,15963,80804,98,128,1349451776,122,114,106,96,75,57,41,12,75,0,616,19,0,0,4,0,17,98,461,12.392989,99.0,301.564922,44.457148,-11.6,-10.0,0,0,0.0007,0,1896-09-21 03:48:02.822,1896.7217441693983
57,420061551442725,4717.294,15459.851,-11.7578,301.565172,44.457131,13.004831,0.22023299999999998,12.258321,0.076784,2414150.777541,50477.8,-10.3397,-11.895999999999999,3.5,6634.933000000001,672.415,-59.89,0.233,3.3e-05,12.06,0.006,3.003,0.0,12.48349,0.22081599999999998,1.349176,0.261034,0.48700000000000004,143663284,i,18540,679952,98,8192,1349386240,130,117,105,88,71,52,28,11,35,0,1763,19,0,0,4,0,0,98,1087,12.258321,99.0,301.56491800000003,44.457145000000004,-11.6,-10.0,0,0,0.0007,0,1897-08-14 06:39:39.542,1897.6171987424655
58,420061551442725,4717.866,5785.8009999999995,-13.3135,301.564871,44.457157,12.791563,0.116627,12.21061,0.10128999999999999,2414154.735448,211542.1,-11.6439,-13.3164,3.5,3828.9759999999997,2401.462,55.69,0.418,4.3e-05,17.91,0.008909,3.2592,0.0,14.585377,0.11894600000000001,1.294534,0.10653699999999999,0.44799999999999995,143663284,i,18557,90643,98,128,1349451776,175,164,149,122,100,84,63,37,35,0,663,19,0,0,4,0,17,98,479,12.21061,99.0,301.56491800000003,44.457145000000004,-11.6,-10.0,0,0,0.0007,0,1897-08-18 05:39:02.707,1897.6280423232877
60,420061551442725,11728.946000000002,5511.821999999999,-12.2319,301.564981,44.457015000000006,12.901399000000001,0.15291400000000002,12.348658,0.07638099999999999,2414187.705073,78119.77,-10.8822,-12.3085,3.5,3910.5879999999997,1188.062,-58.95,0.134,4.7e-05,9.32,0.004637,3.1016,0.0,14.263281,0.10933,1.66305,0.013233000000000002,0.539,143663284,i,18942,406817,98,0,1349453824,190,171,135,115,89,67,42,18,79,0,633,19,0,0,4,0,0,98,488,12.313185,0.06299500000000001,301.56491800000003,44.457145000000004,-11.6,-10.0,0,0,0.0007,0,1897-09-20 04:55:18.307,1897.7183700630135
62,420061551442725,8156.054,5615.368,-12.2046,301.565237,44.4574,13.120704000000002,0.130012,12.292008000000001,0.11271199999999999,2414291.468485,76182.27,-10.9998,-12.4446,4.65,3937.784,1337.799,78.33,0.435,2.7000000000000002e-05,14.32,0.00713,2.6856,0.0,13.759034,0.120843,1.296734,0.13053599999999999,0.688,143663284,i,19873,71791,98,128,1349453824,106,96,86,73,55,40,26,10,38,0,623,19,0,0,3,0,17,98,465,12.276139,0.092442,301.56491600000004,44.457144,-11.6,-10.0,0,0,0.0007,0,1898-01-01 23:14:37.104,1898.002653383562
63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2414291.5120599996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.444030999999999,0.0,0.0,0.0,0.0,0,i,19876,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2048,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0,1898-01-02 00:17:21.984,1898.0027727671222
64,420061551442725,8260.032,5199.170999999999,-12.1921,301.564912,44.457303,13.160682999999999,0.191916,12.327055,0.095126,2414303.4440599997,75304.76,-11.1064,-12.2978,3.5,4123.725,1468.201,77.62,0.45,2.5e-05,11.96,0.005954999999999999,2.8896,0.0,13.473714000000001,0.145048,0.9962840000000001,0.126884,0.723,143663284,i,20032,97732,103,128,1349451776,99,87,75,64,46,35,23,12,41,0,573,19,0,0,4,0,17,103,465,12.327055,99.0,301.56491600000004,44.457144,-11.6,-10.0,0,0,0.0007,0,1898-01-13 22:39:26.784,1898.0354631780813
65,420061551442725,11449.051000000001,5388.315,-12.5123,301.564896,44.457226,12.840257000000001,0.17367,12.276542999999998,0.073089,2414478.831631,101142.8,-11.3262,-12.6288,3.5,4455.294,1773.726,-64.66,0.28800000000000003,2.6000000000000002e-05,10.94,0.005445,3.1024,0.0,13.719226,0.161704,0.993482,0.149002,0.433,143663284,i,20994,94254,98,128,1349453824,102,95,84,71,59,48,35,10,57,0,632,19,0,0,4,0,17,98,468,12.23992,0.099695,301.564914,44.457143,-11.6,-10.0,0,0,0.0007,0,1898-07-08 07:57:32.918,1898.5159770712332
66,420061551442725,8864.67,5180.644,-12.3218,301.564835,44.457194,12.447792999999999,0.228856,12.282601,0.123759,2414560.540305,84866.54,-11.1068,-12.4132,3.62,3990.0229999999997,1499.0829999999999,86.97,0.44,2.6000000000000002e-05,12.29,0.006116,2.8882,0.0,13.427779000000001,0.140905,1.230753,-0.27748,0.4,143663284,i,21242,97441,98,0,1349451776,107,101,86,75,61,47,31,13,31,0,575,19,0,0,4,0,0,98,465,12.282601,99.0,301.564913,44.457142,-11.6,-10.0,0,0,0.0007,0,1898-09-28 00:58:02.352,1898.7398364520543
68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2414755.85185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95783,0.0,0.0,0.0,0.0,0,ac,280,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2048,108,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0,1899-04-11 08:26:39.840,1899.274936575343
